,Area Unit,ANZSOC Division,Year,Region,Victimisations
88,Mclean Park.,Acts Intended to Cause Injury,2023,Hawke Region,1
89,Onekawa Central.,Acts Intended to Cause Injury,2023,Hawke Region,1
90,Mahia.,Acts Intended to Cause Injury,2023,Hawke Region,1
91,Nelson Park.,Acts Intended to Cause Injury,2023,Hawke Region,1
92,Onekawa West.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Hawke Region,1
93,Onekawa West.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Hawke Region,1
94,Onekawa West.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Hawke Region,1
95,Onekawa West.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Hawke Region,1
96,Nelson Park.,Acts Intended to Cause Injury,2023,Hawke Region,1
97,Te Mata.,Acts Intended to Cause Injury,2023,Hawke Region,1
98,Maraenui.,Acts Intended to Cause Injury,2023,Hawke Region,1
99,Hastings Central.,Acts Intended to Cause Injury,2023,Hawke Region,1
100,Bluff Hill.,Acts Intended to Cause Injury,2023,Hawke Region,1
101,Wairoa.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Hawke Region,1
102,Ahuriri.,"Robbery, Extortion and Related Offences",2023,Hawke Region,1
103,Ahuriri.,Theft and Related Offences,2023,Hawke Region,1
104,Sherenden-Puketapu.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Hawke Region,1
105,Hastings Central.,Acts Intended to Cause Injury,2023,Hawke Region,1
106,Omahu.,Acts Intended to Cause Injury,2023,Hawke Region,1
107,St Leonards.,Acts Intended to Cause Injury,2023,Hawke Region,1
108,Mclean Park.,Acts Intended to Cause Injury,2023,Hawke Region,1
109,Nelson Park.,Acts Intended to Cause Injury,2023,Hawke Region,1
110,Mahora.,Acts Intended to Cause Injury,2023,Hawke Region,1
111,Maraenui.,Theft and Related Offences,2023,Hawke Region,1
112,Tamatea North.,Theft and Related Offences,2023,Hawke Region,1
113,Hastings Central.,Theft and Related Offences,2023,Hawke Region,1
114,Parkvale.,Theft and Related Offences,2023,Hawke Region,1
115,Parkvale.,Theft and Related Offences,2023,Hawke Region,1
116,Maraenui.,Theft and Related Offences,2023,Hawke Region,1
117,Nelson Park.,Theft and Related Offences,2023,Hawke Region,1
118,St Leonards.,Theft and Related Offences,2023,Hawke Region,1
119,St Leonards.,Theft and Related Offences,2023,Hawke Region,1
120,Flaxmere East.,Theft and Related Offences,2023,Hawke Region,1
121,Sherenden-Puketapu.,Sexual Assault and Related Offences,2023,Hawke Region,1
122,Tutira.,Sexual Assault and Related Offences,2023,Hawke Region,1
123,Hastings Central.,Sexual Assault and Related Offences,2023,Hawke Region,1
124,Bluff Hill.,Sexual Assault and Related Offences,2023,Hawke Region,1
125,Bridge Pa.,Sexual Assault and Related Offences,2023,Hawke Region,1
126,Onekawa South.,Sexual Assault and Related Offences,2023,Hawke Region,1
127,Karamu.,Sexual Assault and Related Offences,2023,Hawke Region,1
128,Hastings Central.,Sexual Assault and Related Offences,2023,Hawke Region,1
129,Kingsley-Chatham.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Hawke Region,1
130,Woolwich.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Hawke Region,1
131,Mahora.,Theft and Related Offences,2023,Hawke Region,1
132,Nelson Park.,Theft and Related Offences,2023,Hawke Region,1
133,Nelson Park.,Theft and Related Offences,2023,Hawke Region,1
134,Tamatea North.,Theft and Related Offences,2023,Hawke Region,1
135,St Leonards.,Sexual Assault and Related Offences,2023,Hawke Region,1
136,Clive.,Sexual Assault and Related Offences,2023,Hawke Region,1
137,Hastings Central.,Sexual Assault and Related Offences,2023,Hawke Region,1
138,Wairoa.,Sexual Assault and Related Offences,2023,Hawke Region,1
139,Elsthorpe-Flemington.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Hawke Region,1
140,Marewa.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Hawke Region,1
141,Meeanee.,Theft and Related Offences,2023,Hawke Region,1
142,Onekawa Central.,Theft and Related Offences,2023,Hawke Region,1
143,Onekawa South.,Theft and Related Offences,2023,Hawke Region,1
144,Kingsley-Chatham.,Theft and Related Offences,2023,Hawke Region,1
145,Onekawa West.,Theft and Related Offences,2023,Hawke Region,1
146,Onekawa West.,Theft and Related Offences,2023,Hawke Region,2
147,Maraenui.,Theft and Related Offences,2023,Hawke Region,1
148,Mahora.,Theft and Related Offences,2023,Hawke Region,1
149,Camberley.,"Robbery, Extortion and Related Offences",2023,Hawke Region,1
150,Kingsley-Chatham.,"Robbery, Extortion and Related Offences",2023,Hawke Region,1
151,Westshore.,"Robbery, Extortion and Related Offences",2023,Hawke Region,2
152,Onekawa Central.,"Robbery, Extortion and Related Offences",2023,Hawke Region,1
153,St Leonards.,"Robbery, Extortion and Related Offences",2023,Hawke Region,1
154,Mclean Park.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Hawke Region,1
155,Ahuriri.,Theft and Related Offences,2023,Hawke Region,1
156,Ahuriri.,Theft and Related Offences,2023,Hawke Region,1
157,Ahuriri.,Theft and Related Offences,2023,Hawke Region,1
158,Onekawa West.,Theft and Related Offences,2023,Hawke Region,1
159,Tamatea South.,Acts Intended to Cause Injury,2023,Hawke Region,1
160,St Leonards.,Acts Intended to Cause Injury,2023,Hawke Region,1
161,St Leonards.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Hawke Region,1
162,Anderson Park.,Acts Intended to Cause Injury,2023,Hawke Region,1
163,Nelson Park.,Acts Intended to Cause Injury,2023,Hawke Region,1
164,Hastings Central.,Acts Intended to Cause Injury,2023,Hawke Region,1
165,Waiohiki.,Acts Intended to Cause Injury,2023,Hawke Region,1
166,Frimley.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Hawke Region,1
167,Mayfair.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Hawke Region,1
168,Hastings Central.,Theft and Related Offences,2023,Hawke Region,1
169,Onekawa Central.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Hawke Region,1
170,Waipukurau.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Hawke Region,1
171,Wairoa.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Hawke Region,1
172,Omahu.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Hawke Region,1
173,Tamatea South.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Hawke Region,1
174,Meeanee.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Hawke Region,1
