,Area Unit,ANZSOC Division,Year,Region,Victimisations
89,Trentham South.,Sexual Assault and Related Offences,2023,Wellington Region,1
90,Tawhai.,Sexual Assault and Related Offences,2023,Wellington Region,2
91,Heretaunga-Silverstream.,Sexual Assault and Related Offences,2023,Wellington Region,1
92,Emerald Hill.,Sexual Assault and Related Offences,2023,Wellington Region,1
93,Mt Holdsworth.,Sexual Assault and Related Offences,2023,Wellington Region,1
94,Naenae South.,Theft and Related Offences,2023,Wellington Region,1
95,Pinehaven.,Theft and Related Offences,2023,Wellington Region,1
96,Holborn.,Theft and Related Offences,2023,Wellington Region,1
97,Glendale.,Theft and Related Offences,2023,Wellington Region,1
98,Hutt Central.,Acts Intended to Cause Injury,2023,Wellington Region,1
99,Porirua Central.,Theft and Related Offences,2023,Wellington Region,1
100,Paraparaumu Central.,Theft and Related Offences,2023,Wellington Region,1
101,Hutt Central.,Acts Intended to Cause Injury,2023,Wellington Region,1
102,Hutt Central.,Acts Intended to Cause Injury,2023,Wellington Region,1
103,Churton Park North.,Acts Intended to Cause Injury,2023,Wellington Region,1
104,Paraparaumu Central.,"Robbery, Extortion and Related Offences",2023,Wellington Region,3
105,Tawa Central.,"Robbery, Extortion and Related Offences",2023,Wellington Region,1
106,Willis Street-Cambridge Terrace.,"Robbery, Extortion and Related Offences",2023,Wellington Region,1
107,Willis Street-Cambridge Terrace.,"Robbery, Extortion and Related Offences",2023,Wellington Region,1
108,Lambton.,"Robbery, Extortion and Related Offences",2023,Wellington Region,1
109,Hutt Central.,"Robbery, Extortion and Related Offences",2023,Wellington Region,1
110,Johnsonville Central.,"Robbery, Extortion and Related Offences",2023,Wellington Region,1
111,Esplanade.,"Robbery, Extortion and Related Offences",2023,Wellington Region,1
112,Miramar South.,"Robbery, Extortion and Related Offences",2023,Wellington Region,1
113,Esplanade.,"Robbery, Extortion and Related Offences",2023,Wellington Region,1
114,Willis Street-Cambridge Terrace.,"Robbery, Extortion and Related Offences",2023,Wellington Region,1
115,Thorndon-Tinakori Road.,"Robbery, Extortion and Related Offences",2023,Wellington Region,2
116,Lyall Bay-Airport-Moa Point.,Sexual Assault and Related Offences,2023,Wellington Region,1
117,Thorndon-Tinakori Road.,Sexual Assault and Related Offences,2023,Wellington Region,1
118,Kilbirnie West-Hataitai South.,Sexual Assault and Related Offences,2023,Wellington Region,1
119,Brooklyn.,Sexual Assault and Related Offences,2023,Wellington Region,1
120,Mt Cook-Wallace Street.,Sexual Assault and Related Offences,2023,Wellington Region,1
121,Willis Street-Cambridge Terrace.,Sexual Assault and Related Offences,2023,Wellington Region,1
122,Lambton.,Sexual Assault and Related Offences,2023,Wellington Region,1
123,Masterton Central.,Acts Intended to Cause Injury,2023,Wellington Region,1
124,Fernlea.,Theft and Related Offences,2023,Wellington Region,1
125,Elderslea.,Theft and Related Offences,2023,Wellington Region,1
126,Parkway.,Theft and Related Offences,2023,Wellington Region,1
127,Elderslea.,Theft and Related Offences,2023,Wellington Region,1
128,Upper Hutt Central.,Theft and Related Offences,2023,Wellington Region,1
129,Elderslea.,Theft and Related Offences,2023,Wellington Region,1
130,Upper Hutt Central.,Theft and Related Offences,2023,Wellington Region,1
131,Elderslea.,Theft and Related Offences,2023,Wellington Region,1
132,Willis Street-Cambridge Terrace.,Acts Intended to Cause Injury,2023,Wellington Region,1
133,Lambton.,Acts Intended to Cause Injury,2023,Wellington Region,1
134,Willis Street-Cambridge Terrace.,Acts Intended to Cause Injury,2023,Wellington Region,1
135,Willis Street-Cambridge Terrace.,Acts Intended to Cause Injury,2023,Wellington Region,1
136,Karori East.,Acts Intended to Cause Injury,2023,Wellington Region,1
137,Strathmore Park.,Acts Intended to Cause Injury,2023,Wellington Region,1
138,Khandallah Park-Broadmeadows.,Acts Intended to Cause Injury,2023,Wellington Region,1
139,Moera.,Acts Intended to Cause Injury,2023,Wellington Region,1
140,Willis Street-Cambridge Terrace.,Acts Intended to Cause Injury,2023,Wellington Region,1
141,Lambton.,Acts Intended to Cause Injury,2023,Wellington Region,1
142,Avalon East.,Acts Intended to Cause Injury,2023,Wellington Region,1
143,Mt Cook-Wallace Street.,Acts Intended to Cause Injury,2023,Wellington Region,1
144,Tawa South.,Theft and Related Offences,2023,Wellington Region,1
145,Porirua Central.,Theft and Related Offences,2023,Wellington Region,1
146,Porirua Central.,Theft and Related Offences,2023,Wellington Region,1
147,Wilford.,Theft and Related Offences,2023,Wellington Region,1
148,Heretaunga.,Theft and Related Offences,2023,Wellington Region,1
149,Taita North.,Theft and Related Offences,2023,Wellington Region,1
150,Masterton Central.,Theft and Related Offences,2023,Wellington Region,1
151,Trentham South.,Acts Intended to Cause Injury,2023,Wellington Region,1
152,Whareama.,Acts Intended to Cause Injury,2023,Wellington Region,1
153,Willis Street-Cambridge Terrace.,Sexual Assault and Related Offences,2023,Wellington Region,1
154,Willis Street-Cambridge Terrace.,Sexual Assault and Related Offences,2023,Wellington Region,1
155,Lambton.,Sexual Assault and Related Offences,2023,Wellington Region,1
156,Willis Street-Cambridge Terrace.,Sexual Assault and Related Offences,2023,Wellington Region,1
157,Newtown West.,Sexual Assault and Related Offences,2023,Wellington Region,1
158,Melrose-Houghton Bay-Southgate.,Sexual Assault and Related Offences,2023,Wellington Region,1
159,Karori South.,Sexual Assault and Related Offences,2023,Wellington Region,1
160,Petone Central.,Sexual Assault and Related Offences,2023,Wellington Region,1
161,Lambton.,Sexual Assault and Related Offences,2023,Wellington Region,1
162,Miramar South.,Sexual Assault and Related Offences,2023,Wellington Region,1
163,Esplanade.,Sexual Assault and Related Offences,2023,Wellington Region,1
164,Thorndon-Tinakori Road.,Sexual Assault and Related Offences,2023,Wellington Region,1
165,Tawa South.,Acts Intended to Cause Injury,2023,Wellington Region,1
166,Elsdon-Takapuwahia.,Acts Intended to Cause Injury,2023,Wellington Region,1
167,Porirua East.,Acts Intended to Cause Injury,2023,Wellington Region,1
168,Adelaide.,Acts Intended to Cause Injury,2023,Wellington Region,1
169,Mt Cook-Wallace Street.,Acts Intended to Cause Injury,2023,Wellington Region,1
170,Strathmore Park.,Acts Intended to Cause Injury,2023,Wellington Region,1
171,Willis Street-Cambridge Terrace.,Acts Intended to Cause Injury,2023,Wellington Region,1
172,Newtown West.,Acts Intended to Cause Injury,2023,Wellington Region,1
173,Lambton.,Acts Intended to Cause Injury,2023,Wellington Region,1
174,Willis Street-Cambridge Terrace.,Acts Intended to Cause Injury,2023,Wellington Region,1
175,Waiwhetu South.,Acts Intended to Cause Injury,2023,Wellington Region,1
176,Lambton.,Acts Intended to Cause Injury,2023,Wellington Region,1
177,Willis Street-Cambridge Terrace.,"Robbery, Extortion and Related Offences",2023,Wellington Region,2
178,Petone Central.,"Robbery, Extortion and Related Offences",2023,Wellington Region,2
179,Newlands North.,"Robbery, Extortion and Related Offences",2023,Wellington Region,1
180,Johnsonville Central.,"Robbery, Extortion and Related Offences",2023,Wellington Region,2
181,Willis Street-Cambridge Terrace.,"Robbery, Extortion and Related Offences",2023,Wellington Region,1
182,Wilford.,"Robbery, Extortion and Related Offences",2023,Wellington Region,1
183,Naenae North.,"Robbery, Extortion and Related Offences",2023,Wellington Region,1
184,Upper Hutt Central.,"Robbery, Extortion and Related Offences",2023,Wellington Region,1
185,Naenae North.,"Robbery, Extortion and Related Offences",2023,Wellington Region,1
186,Upper Hutt Central.,"Robbery, Extortion and Related Offences",2023,Wellington Region,1
187,Emerald Hill.,"Robbery, Extortion and Related Offences",2023,Wellington Region,1
188,Taita South.,"Robbery, Extortion and Related Offences",2023,Wellington Region,1
189,Homedale West.,Theft and Related Offences,2023,Wellington Region,1
190,Homedale West.,Theft and Related Offences,2023,Wellington Region,1
191,Maungaraki.,Theft and Related Offences,2023,Wellington Region,1
192,Naenae South.,Theft and Related Offences,2023,Wellington Region,1
193,Normandale.,Theft and Related Offences,2023,Wellington Region,1
194,Taita South.,Theft and Related Offences,2023,Wellington Region,1
195,Lansdowne.,Theft and Related Offences,2023,Wellington Region,1
196,Lansdowne.,Theft and Related Offences,2023,Wellington Region,1
197,Lansdowne.,Theft and Related Offences,2023,Wellington Region,1
198,Masterton East.,Theft and Related Offences,2023,Wellington Region,1
199,Te Marua.,Theft and Related Offences,2023,Wellington Region,1
200,Kahutara.,Theft and Related Offences,2023,Wellington Region,1
201,Naenae North.,Theft and Related Offences,2023,Wellington Region,1
202,Ebdentown.,Theft and Related Offences,2023,Wellington Region,1
203,Heretaunga-Silverstream.,Theft and Related Offences,2023,Wellington Region,1
204,Masterton Central.,Theft and Related Offences,2023,Wellington Region,1
205,Waikanae East.,"Robbery, Extortion and Related Offences",2023,Wellington Region,1
206,Porirua Central.,Theft and Related Offences,2023,Wellington Region,1
207,Lambton.,Acts Intended to Cause Injury,2023,Wellington Region,1
208,Titahi Bay South.,Acts Intended to Cause Injury,2023,Wellington Region,1
209,Willis Street-Cambridge Terrace.,Acts Intended to Cause Injury,2023,Wellington Region,1
210,Miramar South.,Acts Intended to Cause Injury,2023,Wellington Region,1
211,Newlands North.,Acts Intended to Cause Injury,2023,Wellington Region,1
212,Porirua Central.,Acts Intended to Cause Injury,2023,Wellington Region,1
213,Otaihanga.,Theft and Related Offences,2023,Wellington Region,1
214,Porirua Central.,Theft and Related Offences,2023,Wellington Region,1
215,Waikanae Beach.,Theft and Related Offences,2023,Wellington Region,1
216,Otaki.,Theft and Related Offences,2023,Wellington Region,1
217,Onepoto.,Theft and Related Offences,2023,Wellington Region,1
218,Lansdowne.,Acts Intended to Cause Injury,2023,Wellington Region,1
219,Willis Street-Cambridge Terrace.,Theft and Related Offences,2023,Wellington Region,1
220,Porirua East.,Theft and Related Offences,2023,Wellington Region,1
221,Newtown East.,Acts Intended to Cause Injury,2023,Wellington Region,1
222,Kingston-Mornington.,Acts Intended to Cause Injury,2023,Wellington Region,1
223,Willis Street-Cambridge Terrace.,Theft and Related Offences,2023,Wellington Region,1
224,Wilford.,Theft and Related Offences,2023,Wellington Region,1
225,Moera.,Acts Intended to Cause Injury,2023,Wellington Region,1
226,Hutt Central.,Acts Intended to Cause Injury,2023,Wellington Region,1
227,Maupuia.,Acts Intended to Cause Injury,2023,Wellington Region,1
228,Willis Street-Cambridge Terrace.,Acts Intended to Cause Injury,2023,Wellington Region,1
229,Waterloo East.,Acts Intended to Cause Injury,2023,Wellington Region,1
230,Petone Central.,Acts Intended to Cause Injury,2023,Wellington Region,1
231,Newtown West.,Acts Intended to Cause Injury,2023,Wellington Region,1
232,Titahi Bay South.,Theft and Related Offences,2023,Wellington Region,1
233,Paremata-Postgate.,Theft and Related Offences,2023,Wellington Region,1
234,Porirua Central.,Theft and Related Offences,2023,Wellington Region,1
235,Porirua Central.,Theft and Related Offences,2023,Wellington Region,1
236,Tawa South.,Theft and Related Offences,2023,Wellington Region,1
237,Mana-Camborne.,Theft and Related Offences,2023,Wellington Region,1
238,Porirua East.,Theft and Related Offences,2023,Wellington Region,1
239,Masterton West.,"Robbery, Extortion and Related Offences",2023,Wellington Region,1
240,Naenae North.,"Robbery, Extortion and Related Offences",2023,Wellington Region,1
241,Trentham North.,"Robbery, Extortion and Related Offences",2023,Wellington Region,3
242,Wallaceville.,"Robbery, Extortion and Related Offences",2023,Wellington Region,1
243,Greenacres.,Sexual Assault and Related Offences,2023,Wellington Region,1
244,Titahi Bay South.,Sexual Assault and Related Offences,2023,Wellington Region,1
245,Porirua Central.,Sexual Assault and Related Offences,2023,Wellington Region,1
246,Papakowhai North.,Sexual Assault and Related Offences,2023,Wellington Region,1
247,Waitangirua.,Sexual Assault and Related Offences,2023,Wellington Region,3
248,Elsdon-Takapuwahia.,Sexual Assault and Related Offences,2023,Wellington Region,1
249,Maungakotukutuku.,Sexual Assault and Related Offences,2023,Wellington Region,1
250,Porirua Central.,Sexual Assault and Related Offences,2023,Wellington Region,1
251,Paraparaumu Beach South.,Sexual Assault and Related Offences,2023,Wellington Region,1
252,Porirua Central.,Sexual Assault and Related Offences,2023,Wellington Region,1
253,Pukerua Bay.,Sexual Assault and Related Offences,2023,Wellington Region,1
254,Tawa Central.,Sexual Assault and Related Offences,2023,Wellington Region,1
255,Lyall Bay-Airport-Moa Point.,Theft and Related Offences,2023,Wellington Region,1
256,Masterton Central.,Acts Intended to Cause Injury,2023,Wellington Region,3
257,Featherston.,Acts Intended to Cause Injury,2023,Wellington Region,1
258,Masterton Central.,Acts Intended to Cause Injury,2023,Wellington Region,1
259,Haywards-Manor Park.,Acts Intended to Cause Injury,2023,Wellington Region,1
260,Naenae South.,Acts Intended to Cause Injury,2023,Wellington Region,1
261,Homedale East.,Acts Intended to Cause Injury,2023,Wellington Region,1
262,Mt Cook-Wallace Street.,"Abduction, Harassment and Other Related Offences Against a Person",2023,Wellington Region,1
263,Paraparaumu Central.,Theft and Related Offences,2023,Wellington Region,1
264,Porirua Central.,Theft and Related Offences,2023,Wellington Region,1
265,Porirua East.,Theft and Related Offences,2023,Wellington Region,1
266,Waterloo East.,Acts Intended to Cause Injury,2023,Wellington Region,1
267,Berhampore West.,Acts Intended to Cause Injury,2023,Wellington Region,1
268,Ngauranga East.,Acts Intended to Cause Injury,2023,Wellington Region,1
269,Roseneath.,Acts Intended to Cause Injury,2023,Wellington Region,1
270,Elderslea.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Wellington Region,1
271,Elderslea.,Theft and Related Offences,2023,Wellington Region,1
272,Elderslea.,Theft and Related Offences,2023,Wellington Region,1
273,Masterton Central.,Theft and Related Offences,2023,Wellington Region,1
274,Masterton Central.,Theft and Related Offences,2023,Wellington Region,1
275,Fernlea.,Theft and Related Offences,2023,Wellington Region,1
276,Masterton Central.,Theft and Related Offences,2023,Wellington Region,1
277,Upper Hutt Central.,Theft and Related Offences,2023,Wellington Region,1
278,Parkway.,Theft and Related Offences,2023,Wellington Region,1
279,Solway North.,Theft and Related Offences,2023,Wellington Region,1
280,Elderslea.,Theft and Related Offences,2023,Wellington Region,1
281,Masterton Central.,Theft and Related Offences,2023,Wellington Region,1
282,Maungakotukutuku.,"Abduction, Harassment and Other Related Offences Against a Person",2023,Wellington Region,1
283,Willis Street-Cambridge Terrace.,"Abduction, Harassment and Other Related Offences Against a Person",2023,Wellington Region,1
284,Maoribank.,Acts Intended to Cause Injury,2023,Wellington Region,1
285,Heretaunga-Silverstream.,Theft and Related Offences,2023,Wellington Region,1
286,Heretaunga-Silverstream.,Theft and Related Offences,2023,Wellington Region,1
287,Upper Hutt Central.,Theft and Related Offences,2023,Wellington Region,1
288,Masterton West.,Theft and Related Offences,2023,Wellington Region,1
289,Poets Block.,Theft and Related Offences,2023,Wellington Region,1
290,Holborn.,Theft and Related Offences,2023,Wellington Region,1
291,Greytown.,Theft and Related Offences,2023,Wellington Region,1
292,Brentwood.,Theft and Related Offences,2023,Wellington Region,1
293,Upper Hutt Central.,Theft and Related Offences,2023,Wellington Region,1
294,Ngaumutawa.,Theft and Related Offences,2023,Wellington Region,1
295,Solway North.,Theft and Related Offences,2023,Wellington Region,1
296,Elderslea.,Theft and Related Offences,2023,Wellington Region,1
297,Willis Street-Cambridge Terrace.,"Robbery, Extortion and Related Offences",2023,Wellington Region,1
298,Avalon East.,Theft and Related Offences,2023,Wellington Region,1
299,Holborn.,Theft and Related Offences,2023,Wellington Region,1
300,Elderslea.,Theft and Related Offences,2023,Wellington Region,1
301,Masterton Central.,Theft and Related Offences,2023,Wellington Region,1
302,Boulcott.,Theft and Related Offences,2023,Wellington Region,1
303,Hutt Central.,Theft and Related Offences,2023,Wellington Region,1
304,Taita South.,Theft and Related Offences,2023,Wellington Region,1
305,Avalon West.,Theft and Related Offences,2023,Wellington Region,1
306,Homedale East.,Theft and Related Offences,2023,Wellington Region,1
307,Fernlea.,Theft and Related Offences,2023,Wellington Region,1
308,Brentwood.,Theft and Related Offences,2023,Wellington Region,1
309,Avalon West.,Theft and Related Offences,2023,Wellington Region,1
310,Kelson.,Theft and Related Offences,2023,Wellington Region,1
311,Taita North.,Theft and Related Offences,2023,Wellington Region,1
312,Trentham North.,Theft and Related Offences,2023,Wellington Region,1
313,Naenae North.,Theft and Related Offences,2023,Wellington Region,1
314,Willis Street-Cambridge Terrace.,Theft and Related Offences,2023,Wellington Region,1
315,Lambton.,Sexual Assault and Related Offences,2023,Wellington Region,1
316,Hutt Central.,Sexual Assault and Related Offences,2023,Wellington Region,1
317,Esplanade.,Sexual Assault and Related Offences,2023,Wellington Region,1
318,Mt Cook-Wallace Street.,Sexual Assault and Related Offences,2023,Wellington Region,1
319,Mt Victoria West.,Sexual Assault and Related Offences,2023,Wellington Region,1
320,Paparangi.,Sexual Assault and Related Offences,2023,Wellington Region,1
321,Willis Street-Cambridge Terrace.,Sexual Assault and Related Offences,2023,Wellington Region,1
322,Korokoro.,Sexual Assault and Related Offences,2023,Wellington Region,1
323,Khandallah Park-Broadmeadows.,Sexual Assault and Related Offences,2023,Wellington Region,1
324,Thorndon-Tinakori Road.,Sexual Assault and Related Offences,2023,Wellington Region,1
325,Adelaide.,Sexual Assault and Related Offences,2023,Wellington Region,1
326,Lambton.,Sexual Assault and Related Offences,2023,Wellington Region,1
327,Masterton Central.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Wellington Region,1
328,Hutt Central.,Theft and Related Offences,2023,Wellington Region,1
329,Otaki.,Theft and Related Offences,2023,Wellington Region,1
330,Paraparaumu Central.,Theft and Related Offences,2023,Wellington Region,1
331,Tawa South.,Theft and Related Offences,2023,Wellington Region,1
332,Paraparaumu Central.,Theft and Related Offences,2023,Wellington Region,1
333,Waikanae East.,Theft and Related Offences,2023,Wellington Region,1
334,Mana-Camborne.,Theft and Related Offences,2023,Wellington Region,1
335,Paraparaumu Central.,Theft and Related Offences,2023,Wellington Region,1
336,Wilford.,Theft and Related Offences,2023,Wellington Region,1
337,Masterton Central.,Acts Intended to Cause Injury,2023,Wellington Region,1
338,Avalon West.,Acts Intended to Cause Injury,2023,Wellington Region,1
339,Masterton Central.,Acts Intended to Cause Injury,2023,Wellington Region,1
340,Naenae South.,Acts Intended to Cause Injury,2023,Wellington Region,1
341,Lansdowne.,Acts Intended to Cause Injury,2023,Wellington Region,1
342,Brentwood.,Acts Intended to Cause Injury,2023,Wellington Region,1
343,Lyall Bay-Airport-Moa Point.,Acts Intended to Cause Injury,2023,Wellington Region,1
344,Johnsonville Central.,Acts Intended to Cause Injury,2023,Wellington Region,1
345,Kilbirnie East.,Acts Intended to Cause Injury,2023,Wellington Region,1
346,Newtown West.,Acts Intended to Cause Injury,2023,Wellington Region,1
347,Willis Street-Cambridge Terrace.,Acts Intended to Cause Injury,2023,Wellington Region,1
348,Willis Street-Cambridge Terrace.,Acts Intended to Cause Injury,2023,Wellington Region,1
349,Hutt Central.,Acts Intended to Cause Injury,2023,Wellington Region,1
350,Willis Street-Cambridge Terrace.,Acts Intended to Cause Injury,2023,Wellington Region,1
351,Khandallah Park-Broadmeadows.,Acts Intended to Cause Injury,2023,Wellington Region,1
352,Hutt Central.,Acts Intended to Cause Injury,2023,Wellington Region,1
353,Hutt Central.,Acts Intended to Cause Injury,2023,Wellington Region,1
354,Willis Street-Cambridge Terrace.,Acts Intended to Cause Injury,2023,Wellington Region,1
355,Paraparaumu Central.,"Robbery, Extortion and Related Offences",2023,Wellington Region,1
