,Area Unit,ANZSOC Division,Year,Region,Victimisations
85,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
86,Waitara West.,Acts Intended to Cause Injury,2023,Taranaki Region,1
87,Spotswood.,Acts Intended to Cause Injury,2023,Taranaki Region,1
88,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
89,Kaponga.,Acts Intended to Cause Injury,2023,Taranaki Region,1
90,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
91,Merrilands.,Acts Intended to Cause Injury,2023,Taranaki Region,1
92,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
93,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,2
94,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,2
95,Patea.,Acts Intended to Cause Injury,2023,Taranaki Region,1
96,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
97,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
98,Hawera North.,Acts Intended to Cause Injury,2023,Taranaki Region,1
99,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
100,Glen Avon.,Acts Intended to Cause Injury,2023,Taranaki Region,1
101,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
102,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
103,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
104,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
105,Hawera South.,Acts Intended to Cause Injury,2023,Taranaki Region,1
106,Opunake.,Acts Intended to Cause Injury,2023,Taranaki Region,1
107,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
108,Okoki-Okau.,Acts Intended to Cause Injury,2023,Taranaki Region,1
109,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
110,Highlands Park.,Acts Intended to Cause Injury,2023,Taranaki Region,1
111,Oakura.,Acts Intended to Cause Injury,2023,Taranaki Region,1
112,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
113,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
114,Hawera North.,Acts Intended to Cause Injury,2023,Taranaki Region,1
115,Waitara West.,Acts Intended to Cause Injury,2023,Taranaki Region,1
116,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
117,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
118,Lynmouth.,Acts Intended to Cause Injury,2023,Taranaki Region,1
