,Area Unit,ANZSOC Division,Year,Region,Victimisations
97,Kensington.,Theft and Related Offences,2023,Northland,1
98,Kamo West.,Theft and Related Offences,2023,Northland,1
99,Kaikohe.,"Robbery, Extortion and Related Offences",2023,Northland,1
100,Ngapuhi-Kaikou.,Acts Intended to Cause Injury,2023,Northland,1
101,Kamo East.,"Abduction, Harassment and Other Related Offences Against a Person",2023,Northland,1
102,Kaikohe.,Theft and Related Offences,2023,Northland,1
103,Marsden Point-Ruakaka.,Acts Intended to Cause Injury,2023,Northland,1
104,Bay of Islands.,Theft and Related Offences,2023,Northland,1
105,Kaitaia West.,Theft and Related Offences,2023,Northland,1
106,Bay of Islands.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Northland,1
107,Waipu.,Acts Intended to Cause Injury,2023,Northland,1
108,Bay of Islands.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Northland,1
109,Kawakawa.,Theft and Related Offences,2023,Northland,1
110,Sherwood Rise.,Theft and Related Offences,2023,Northland,1
111,Kamo East.,Theft and Related Offences,2023,Northland,1
112,Horahora.,Sexual Assault and Related Offences,2023,Northland,1
113,Regent.,Theft and Related Offences,2023,Northland,1
114,Otaika-Portland.,Sexual Assault and Related Offences,2023,Northland,1
115,Raumanga East.,Theft and Related Offences,2023,Northland,1
116,Tikipunga West.,Theft and Related Offences,2023,Northland,1
117,Tikipunga East.,Theft and Related Offences,2023,Northland,1
118,Tikipunga West.,Theft and Related Offences,2023,Northland,1
119,Hokianga South.,Theft and Related Offences,2023,Northland,1
120,Whangarei Central.,"Abduction, Harassment and Other Related Offences Against a Person",2023,Northland,1
121,Whangarei Central.,Theft and Related Offences,2023,Northland,1
122,Karikari Peninsula-Maungataniwha.,Acts Intended to Cause Injury,2023,Northland,1
123,Bay of Islands.,Theft and Related Offences,2023,Northland,1
124,Kawakawa.,Theft and Related Offences,2023,Northland,1
125,Whau Valley.,Acts Intended to Cause Injury,2023,Northland,1
126,Raumanga West.,Acts Intended to Cause Injury,2023,Northland,1
127,Woodhill.,Theft and Related Offences,2023,Northland,1
128,Whangarei Central.,Theft and Related Offences,2023,Northland,1
129,Kamo West.,Theft and Related Offences,2023,Northland,1
130,Hikurangi.,Sexual Assault and Related Offences,2023,Northland,1
131,Kaitaia West.,Theft and Related Offences,2023,Northland,1
132,Morningside.,Sexual Assault and Related Offences,2023,Northland,1
133,Regent.,Theft and Related Offences,2023,Northland,1
134,Whangarei Central.,Theft and Related Offences,2023,Northland,1
135,Mangapa-Matauri Bay.,"Robbery, Extortion and Related Offences",2023,Northland,1
136,Sherwood Rise.,Acts Intended to Cause Injury,2023,Northland,1
137,Bay of Islands.,Theft and Related Offences,2023,Northland,1
138,Kensington.,Theft and Related Offences,2023,Northland,1
139,Kaikohe.,Acts Intended to Cause Injury,2023,Northland,1
140,Whangarei Central.,Acts Intended to Cause Injury,2023,Northland,1
141,Kamo East.,Theft and Related Offences,2023,Northland,1
142,Riverside.,Theft and Related Offences,2023,Northland,1
143,Kamo West.,Theft and Related Offences,2023,Northland,1
144,Whangarei Central.,Sexual Assault and Related Offences,2023,Northland,1
145,Whangarei Central.,Theft and Related Offences,2023,Northland,1
146,Tikipunga East.,Sexual Assault and Related Offences,2023,Northland,1
147,Waihou Valley-Hupara.,Theft and Related Offences,2023,Northland,1
148,Tikipunga West.,Theft and Related Offences,2023,Northland,1
149,Hokianga South.,Acts Intended to Cause Injury,2023,Northland,1
150,Abbey Caves.,Theft and Related Offences,2023,Northland,1
151,Kaeo.,Theft and Related Offences,2023,Northland,1
152,Hokianga South.,Acts Intended to Cause Injury,2023,Northland,1
153,Pokere-Waihaha.,Theft and Related Offences,2023,Northland,1
154,Hokianga South.,Acts Intended to Cause Injury,2023,Northland,1
155,Taipa Bay-Mangonui.,Theft and Related Offences,2023,Northland,1
156,Kaitaia West.,Theft and Related Offences,2023,Northland,1
157,Kensington.,Acts Intended to Cause Injury,2023,Northland,1
158,Kaeo.,Acts Intended to Cause Injury,2023,Northland,1
159,Whangarei Central.,Theft and Related Offences,2023,Northland,1
160,Waihou Valley-Hupara.,Theft and Related Offences,2023,Northland,1
161,Mairtown.,Theft and Related Offences,2023,Northland,1
162,Parahaki.,Sexual Assault and Related Offences,2023,Northland,1
163,Kaitaia West.,Theft and Related Offences,2023,Northland,1
164,Waipu.,Sexual Assault and Related Offences,2023,Northland,1
165,Taipa Bay-Mangonui.,Theft and Related Offences,2023,Northland,1
166,Onerahi.,Theft and Related Offences,2023,Northland,1
167,Tikipunga West.,Acts Intended to Cause Injury,2023,Northland,1
168,Vinetown.,Theft and Related Offences,2023,Northland,1
169,Tikipunga West.,Theft and Related Offences,2023,Northland,1
