,Area Unit,ANZSOC Division,Year,Region,Victimisations
88,Te Rapa.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
89,Te Rapa.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
90,Enderley.,Acts Intended to Cause Injury,2023,Waikato Region,1
91,Melville.,"Robbery, Extortion and Related Offences",2023,Waikato Region,1
92,Chedworth.,Theft and Related Offences,2023,Waikato Region,3
93,Hamilton Central.,Theft and Related Offences,2023,Waikato Region,3
94,Hamilton Central.,Theft and Related Offences,2023,Waikato Region,1
95,Rotokauri.,Theft and Related Offences,2023,Waikato Region,1
96,Huntly West.,Theft and Related Offences,2023,Waikato Region,1
97,Bryant.,Acts Intended to Cause Injury,2023,Waikato Region,1
98,Enderley.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
99,Tuakau.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
100,Whatawhata.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
101,Kainui.,Theft and Related Offences,2023,Waikato Region,1
102,Hamilton Central.,Theft and Related Offences,2023,Waikato Region,1
103,Bryant.,Theft and Related Offences,2023,Waikato Region,1
104,Hamilton Central.,Theft and Related Offences,2023,Waikato Region,1
105,Newstead.,Theft and Related Offences,2023,Waikato Region,1
106,Hamilton Central.,Theft and Related Offences,2023,Waikato Region,1
107,Hamilton Central.,Theft and Related Offences,2023,Waikato Region,1
108,Te Rapa.,Theft and Related Offences,2023,Waikato Region,3
109,Chedworth.,Theft and Related Offences,2023,Waikato Region,3
110,Huntington.,"Robbery, Extortion and Related Offences",2023,Waikato Region,1
111,Hamilton Central.,"Robbery, Extortion and Related Offences",2023,Waikato Region,1
112,Pukete.,"Robbery, Extortion and Related Offences",2023,Waikato Region,1
113,Huntly West.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
114,Huntington.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
115,Maeroa.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
116,Te Rapa.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
117,Hamilton East.,Theft and Related Offences,2023,Waikato Region,1
118,Hamilton Central.,Theft and Related Offences,2023,Waikato Region,1
119,Hamilton Central.,Theft and Related Offences,2023,Waikato Region,1
120,Chedworth.,Acts Intended to Cause Injury,2023,Waikato Region,1
121,Peachgrove.,Acts Intended to Cause Injury,2023,Waikato Region,1
122,Huntly West.,Acts Intended to Cause Injury,2023,Waikato Region,1
123,Ngaruawahia.,Acts Intended to Cause Injury,2023,Waikato Region,1
124,Chedworth.,Acts Intended to Cause Injury,2023,Waikato Region,1
125,Hamilton Central.,Acts Intended to Cause Injury,2023,Waikato Region,1
126,Melville.,Acts Intended to Cause Injury,2023,Waikato Region,1
127,Maeroa.,Acts Intended to Cause Injury,2023,Waikato Region,1
128,Te Rapa.,Theft and Related Offences,2023,Waikato Region,1
129,Huntly East.,Theft and Related Offences,2023,Waikato Region,1
130,Kainui.,Theft and Related Offences,2023,Waikato Region,1
131,Enderley.,Theft and Related Offences,2023,Waikato Region,1
132,Raglan.,"Abduction, Harassment and Other Related Offences Against a Person",2023,Waikato Region,1
133,Hamilton Lake.,"Abduction, Harassment and Other Related Offences Against a Person",2023,Waikato Region,1
134,Ngaruawahia.,"Abduction, Harassment and Other Related Offences Against a Person",2023,Waikato Region,1
135,Tokoroa Central.,"Abduction, Harassment and Other Related Offences Against a Person",2023,Waikato Region,1
136,University.,Acts Intended to Cause Injury,2023,Waikato Region,2
137,Pukete West.,Acts Intended to Cause Injury,2023,Waikato Region,1
138,Dinsdale South.,Acts Intended to Cause Injury,2023,Waikato Region,1
139,Huntly East.,Acts Intended to Cause Injury,2023,Waikato Region,1
140,Hamilton Lake.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
141,Hamilton Lake.,Theft and Related Offences,2023,Waikato Region,1
142,University.,Theft and Related Offences,2023,Waikato Region,1
143,Claudelands.,Acts Intended to Cause Injury,2023,Waikato Region,1
144,Crawshaw.,Acts Intended to Cause Injury,2023,Waikato Region,1
145,Clarkin.,Acts Intended to Cause Injury,2023,Waikato Region,1
146,Frankton Junction.,Acts Intended to Cause Injury,2023,Waikato Region,1
147,Ngaruawahia.,Theft and Related Offences,2023,Waikato Region,1
148,Newstead.,Theft and Related Offences,2023,Waikato Region,1
149,Newstead.,Theft and Related Offences,2023,Waikato Region,1
150,Peachgrove.,Theft and Related Offences,2023,Waikato Region,1
151,Silverdale.,Theft and Related Offences,2023,Waikato Region,1
152,Hamilton East.,Theft and Related Offences,2023,Waikato Region,1
153,Te Rapa.,Theft and Related Offences,2023,Waikato Region,1
154,Bader.,Theft and Related Offences,2023,Waikato Region,1
155,University.,Theft and Related Offences,2023,Waikato Region,1
156,Dinsdale South.,Theft and Related Offences,2023,Waikato Region,1
157,Glenview.,Theft and Related Offences,2023,Waikato Region,1
158,Frankton Junction.,Theft and Related Offences,2023,Waikato Region,1
159,Hamilton Central.,Theft and Related Offences,2023,Waikato Region,1
160,Bryant.,Theft and Related Offences,2023,Waikato Region,1
161,Huntly East.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
162,Rotokauri.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
163,Chedworth.,Theft and Related Offences,2023,Waikato Region,4
164,Chedworth.,Theft and Related Offences,2023,Waikato Region,5
165,Dinsdale South.,Theft and Related Offences,2023,Waikato Region,1
166,Hamilton Central.,Theft and Related Offences,2023,Waikato Region,1
167,Inland Water-Lake Taupo.,Acts Intended to Cause Injury,2023,Waikato Region,1
168,Dinsdale North.,Acts Intended to Cause Injury,2023,Waikato Region,1
169,Hamilton Central.,Acts Intended to Cause Injury,2023,Waikato Region,1
170,Hamilton Lake.,Acts Intended to Cause Injury,2023,Waikato Region,1
171,Te Rapa.,Acts Intended to Cause Injury,2023,Waikato Region,1
172,Dinsdale South.,Acts Intended to Cause Injury,2023,Waikato Region,1
173,Peachgrove.,Acts Intended to Cause Injury,2023,Waikato Region,1
174,Whatawhata.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
175,Inland Water-Lake Taupo.,Theft and Related Offences,2023,Waikato Region,1
176,Hamilton Central.,Theft and Related Offences,2023,Waikato Region,1
177,Hamilton Central.,Theft and Related Offences,2023,Waikato Region,1
178,Peachgrove.,Theft and Related Offences,2023,Waikato Region,1
179,Huntly East.,Theft and Related Offences,2023,Waikato Region,1
180,Hamilton Lake.,Theft and Related Offences,2023,Waikato Region,1
181,Glenview.,Theft and Related Offences,2023,Waikato Region,1
182,Enderley.,Theft and Related Offences,2023,Waikato Region,1
183,Te Rapa.,Theft and Related Offences,2023,Waikato Region,1
184,Frankton Junction.,Theft and Related Offences,2023,Waikato Region,1
185,Beerescourt.,Theft and Related Offences,2023,Waikato Region,1
186,Huntington.,Theft and Related Offences,2023,Waikato Region,1
187,Dinsdale South.,Theft and Related Offences,2023,Waikato Region,1
188,Newstead.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
189,Frankton Junction.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
190,Pukete West.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
191,Dinsdale South.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
192,Hamilton Lake.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
193,Gordonton.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
194,Ngaruawahia.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
195,Silverdale.,Theft and Related Offences,2023,Waikato Region,1
196,Mangatawhiri.,Theft and Related Offences,2023,Waikato Region,1
197,Pokeno.,Theft and Related Offences,2023,Waikato Region,1
198,Claudelands.,Theft and Related Offences,2023,Waikato Region,1
199,Kainui.,Theft and Related Offences,2023,Waikato Region,1
200,Huntly East.,Theft and Related Offences,2023,Waikato Region,1
201,Huntington.,Theft and Related Offences,2023,Waikato Region,1
202,Huntington.,"Robbery, Extortion and Related Offences",2023,Waikato Region,1
203,Dinsdale South.,"Robbery, Extortion and Related Offences",2023,Waikato Region,1
204,Grandview.,"Robbery, Extortion and Related Offences",2023,Waikato Region,1
205,Hamilton East.,"Robbery, Extortion and Related Offences",2023,Waikato Region,1
206,Huntington.,Theft and Related Offences,2023,Waikato Region,1
207,Clarkin.,Theft and Related Offences,2023,Waikato Region,1
208,Frankton Junction.,Theft and Related Offences,2023,Waikato Region,1
209,Frankton Junction.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
210,Ngaruawahia.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
211,Bryant.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
212,Huntly East.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
213,Silverdale.,Theft and Related Offences,2023,Waikato Region,1
214,Enderley.,Theft and Related Offences,2023,Waikato Region,1
215,Enderley.,Theft and Related Offences,2023,Waikato Region,1
216,Beerescourt.,Theft and Related Offences,2023,Waikato Region,1
217,Pokeno.,Theft and Related Offences,2023,Waikato Region,1
218,Swarbrick.,Theft and Related Offences,2023,Waikato Region,1
219,Claudelands.,Theft and Related Offences,2023,Waikato Region,1
220,Huntly East.,Theft and Related Offences,2023,Waikato Region,1
221,Hamilton Central.,Theft and Related Offences,2023,Waikato Region,1
222,Hamilton Central.,Theft and Related Offences,2023,Waikato Region,1
223,Horsham Downs.,Theft and Related Offences,2023,Waikato Region,1
224,Te Rapa.,Theft and Related Offences,2023,Waikato Region,1
225,Hamilton East.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
226,Frankton Junction.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
227,Pokeno.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
228,Frankton Junction.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
229,Swarbrick.,Acts Intended to Cause Injury,2023,Waikato Region,1
230,Huntly West.,Acts Intended to Cause Injury,2023,Waikato Region,1
231,Hamilton Lake.,Acts Intended to Cause Injury,2023,Waikato Region,1
232,Crawshaw.,Acts Intended to Cause Injury,2023,Waikato Region,1
233,Chedworth.,Theft and Related Offences,2023,Waikato Region,4
234,Chedworth.,Theft and Related Offences,2023,Waikato Region,4
235,Hamilton Central.,Theft and Related Offences,2023,Waikato Region,1
236,Chedworth.,Theft and Related Offences,2023,Waikato Region,1
237,Rototuna.,Theft and Related Offences,2023,Waikato Region,1
238,Chedworth.,Theft and Related Offences,2023,Waikato Region,1
239,Enderley.,Theft and Related Offences,2023,Waikato Region,1
240,Matangi.,Theft and Related Offences,2023,Waikato Region,1
241,Hamilton Central.,Theft and Related Offences,2023,Waikato Region,1
242,Ngaruawahia.,Theft and Related Offences,2023,Waikato Region,1
243,Hamilton Central.,Theft and Related Offences,2023,Waikato Region,1
244,Huntly West.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
245,Kainui.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
246,Mangatawhiri.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
247,Hamilton Central.,Theft and Related Offences,2023,Waikato Region,1
248,Melville.,Theft and Related Offences,2023,Waikato Region,1
249,Hamilton Central.,Theft and Related Offences,2023,Waikato Region,1
250,Te Rapa.,Theft and Related Offences,2023,Waikato Region,1
251,Te Rapa.,Theft and Related Offences,2023,Waikato Region,1
252,Beerescourt.,Theft and Related Offences,2023,Waikato Region,1
253,Frankton Junction.,Theft and Related Offences,2023,Waikato Region,1
254,Huntly East.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
255,Flagstaff.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
256,Naylor.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
257,Huntly West.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
258,Waikato Western Hills.,Sexual Assault and Related Offences,2023,Waikato Region,1
259,Huntly East.,Acts Intended to Cause Injury,2023,Waikato Region,1
260,Fairview Downs.,Acts Intended to Cause Injury,2023,Waikato Region,1
261,Hamilton Lake.,Acts Intended to Cause Injury,2023,Waikato Region,1
262,Huntly East.,Acts Intended to Cause Injury,2023,Waikato Region,1
263,Frankton Junction.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
264,Burbush.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
265,Waerenga.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
266,Hamilton Central.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
267,Clarkin.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
268,Whitikahu.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
269,Silverdale.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
270,Hamilton East.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
271,Horsham Downs.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
272,Huntington.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
273,Porritt.,"Abduction, Harassment and Other Related Offences Against a Person",2023,Waikato Region,1
274,Hamilton Lake.,"Abduction, Harassment and Other Related Offences Against a Person",2023,Waikato Region,1
275,Nawton.,Acts Intended to Cause Injury,2023,Waikato Region,1
276,Hamilton Central.,Acts Intended to Cause Injury,2023,Waikato Region,1
277,Mangatawhiri.,Acts Intended to Cause Injury,2023,Waikato Region,1
278,Brymer.,Acts Intended to Cause Injury,2023,Waikato Region,1
279,Chedworth.,"Robbery, Extortion and Related Offences",2023,Waikato Region,1
280,Hamilton Central.,"Robbery, Extortion and Related Offences",2023,Waikato Region,1
281,Flagstaff.,"Robbery, Extortion and Related Offences",2023,Waikato Region,1
282,Hamilton Central.,"Robbery, Extortion and Related Offences",2023,Waikato Region,1
283,Claudelands.,Theft and Related Offences,2023,Waikato Region,1
284,Hamilton Central.,Theft and Related Offences,2023,Waikato Region,1
285,Hamilton Lake.,Theft and Related Offences,2023,Waikato Region,1
286,Hamilton Central.,Theft and Related Offences,2023,Waikato Region,1
287,Te Rapa.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
288,Hamilton Central.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
289,Te Kowhai.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
290,Hamilton Central.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
291,Chedworth.,Theft and Related Offences,2023,Waikato Region,1
292,Waikato Western Hills.,Theft and Related Offences,2023,Waikato Region,2
293,Enderley.,Theft and Related Offences,2023,Waikato Region,1
294,Hamilton Central.,Theft and Related Offences,2023,Waikato Region,1
295,Hillcrest West.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
296,Hillcrest West.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
297,Huntly East.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
298,Rotokauri.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
299,Te Rapa.,Acts Intended to Cause Injury,2023,Waikato Region,1
300,Frankton Junction.,Acts Intended to Cause Injury,2023,Waikato Region,1
301,Hamilton Lake.,Acts Intended to Cause Injury,2023,Waikato Region,1
302,Huntly East.,Acts Intended to Cause Injury,2023,Waikato Region,1
303,Horsham Downs.,Theft and Related Offences,2023,Waikato Region,1
304,Hamilton Central.,Theft and Related Offences,2023,Waikato Region,1
305,University.,Theft and Related Offences,2023,Waikato Region,1
306,Hamilton Central.,Theft and Related Offences,2023,Waikato Region,1
307,Fairview Downs.,Acts Intended to Cause Injury,2023,Waikato Region,1
308,Beerescourt.,Acts Intended to Cause Injury,2023,Waikato Region,1
309,Insoll.,Acts Intended to Cause Injury,2023,Waikato Region,1
310,Hamilton Central.,Acts Intended to Cause Injury,2023,Waikato Region,1
311,Hamilton Central.,Theft and Related Offences,2023,Waikato Region,1
312,Hamilton Central.,Theft and Related Offences,2023,Waikato Region,1
313,Huntly East.,Theft and Related Offences,2023,Waikato Region,1
314,Frankton Junction.,Theft and Related Offences,2023,Waikato Region,1
315,Te Rapa.,Theft and Related Offences,2023,Waikato Region,1
316,Huntly East.,Theft and Related Offences,2023,Waikato Region,1
317,Huntly East.,Theft and Related Offences,2023,Waikato Region,1
318,Hamilton Central.,Theft and Related Offences,2023,Waikato Region,1
319,Enderley.,Theft and Related Offences,2023,Waikato Region,1
320,Hillcrest West.,Theft and Related Offences,2023,Waikato Region,1
321,Grandview.,Theft and Related Offences,2023,Waikato Region,1
322,Hamilton Central.,Theft and Related Offences,2023,Waikato Region,1
323,Horsham Downs.,Theft and Related Offences,2023,Waikato Region,1
324,Hamilton Central.,Theft and Related Offences,2023,Waikato Region,1
325,Peachgrove.,Theft and Related Offences,2023,Waikato Region,2
326,Horsham Downs.,Theft and Related Offences,2023,Waikato Region,3
327,Bader.,Theft and Related Offences,2023,Waikato Region,1
328,Hamilton Lake.,Theft and Related Offences,2023,Waikato Region,1
329,Hamilton Lake.,Theft and Related Offences,2023,Waikato Region,1
330,Hamilton Lake.,Theft and Related Offences,2023,Waikato Region,1
331,Fairview Downs.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
332,Peachgrove.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
333,Bryant.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
334,Chedworth.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
335,Hamilton Central.,Theft and Related Offences,2023,Waikato Region,1
336,Hamilton Central.,Theft and Related Offences,2023,Waikato Region,1
337,Hamilton Lake.,Theft and Related Offences,2023,Waikato Region,1
338,Te Rapa.,Theft and Related Offences,2023,Waikato Region,1
339,Sylvester.,"Robbery, Extortion and Related Offences",2023,Waikato Region,1
340,Nawton.,"Robbery, Extortion and Related Offences",2023,Waikato Region,2
341,Enderley.,"Robbery, Extortion and Related Offences",2023,Waikato Region,1
342,Hamilton Central.,"Robbery, Extortion and Related Offences",2023,Waikato Region,1
343,University.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
344,Hamilton Central.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
345,University.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
346,Beerescourt.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
347,Hamilton Central.,Theft and Related Offences,2023,Waikato Region,1
348,Flagstaff.,Theft and Related Offences,2023,Waikato Region,1
349,Hamilton Lake.,Theft and Related Offences,2023,Waikato Region,1
350,Naylor.,Theft and Related Offences,2023,Waikato Region,1
351,Huntly West.,Theft and Related Offences,2023,Waikato Region,1
352,Maramarua.,Theft and Related Offences,2023,Waikato Region,1
353,Whatawhata.,Theft and Related Offences,2023,Waikato Region,1
354,Hamilton Central.,Acts Intended to Cause Injury,2023,Waikato Region,1
355,Hamilton Lake.,Acts Intended to Cause Injury,2023,Waikato Region,1
