,Area Unit,ANZSOC Division,Year,Region,Victimisations
87,Richmond West.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Tasman Region,1
88,Lake Rotoroa.,Acts Intended to Cause Injury,2023,Tasman Region,1
89,Motueka Outer.,Acts Intended to Cause Injury,2023,Tasman Region,1
90,Motueka East.,Acts Intended to Cause Injury,2023,Tasman Region,1
91,Richmond East.,Acts Intended to Cause Injury,2023,Tasman Region,1
92,Richmond West.,Theft and Related Offences,2023,Tasman Region,1
93,Motueka West.,Theft and Related Offences,2023,Tasman Region,1
94,Richmond West.,Theft and Related Offences,2023,Tasman Region,1
95,Richmond West.,Theft and Related Offences,2023,Tasman Region,1
96,Brightwater.,Theft and Related Offences,2023,Tasman Region,1
97,Brightwater.,Theft and Related Offences,2023,Tasman Region,1
98,Brightwater.,Theft and Related Offences,2023,Tasman Region,1
99,Brightwater.,Theft and Related Offences,2023,Tasman Region,1
100,Takaka.,Theft and Related Offences,2023,Tasman Region,1
101,Kaiteriteri.,Theft and Related Offences,2023,Tasman Region,1
102,Wai-Iti.,Acts Intended to Cause Injury,2023,Tasman Region,1
103,Richmond West.,Acts Intended to Cause Injury,2023,Tasman Region,1
104,Wai-Iti.,Acts Intended to Cause Injury,2023,Tasman Region,1
105,Motueka Outer.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Tasman Region,1
106,Golden Bay.,Theft and Related Offences,2023,Tasman Region,1
107,Motueka West.,Acts Intended to Cause Injury,2023,Tasman Region,1
108,Motueka West.,Acts Intended to Cause Injury,2023,Tasman Region,1
109,Hope.,Theft and Related Offences,2023,Tasman Region,1
110,Takaka.,Theft and Related Offences,2023,Tasman Region,1
111,Takaka.,Theft and Related Offences,2023,Tasman Region,1
112,Riwaka.,Theft and Related Offences,2023,Tasman Region,1
113,Brightwater.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Tasman Region,1
114,Riwaka.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Tasman Region,1
115,Motueka Outer.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Tasman Region,1
116,Richmond West.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Tasman Region,1
117,Golden Bay.,Theft and Related Offences,2023,Tasman Region,1
118,Motueka Outer.,Theft and Related Offences,2023,Tasman Region,1
119,Golden Bay.,Theft and Related Offences,2023,Tasman Region,1
120,Kaiteriteri.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Tasman Region,1
121,Tapawera.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Tasman Region,1
122,Golden Downs.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Tasman Region,1
123,Richmond East.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Tasman Region,1
124,Wai-Iti.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Tasman Region,1
125,Wakefield.,Theft and Related Offences,2023,Tasman Region,1
126,Motueka West.,Theft and Related Offences,2023,Tasman Region,1
127,Motueka West.,Theft and Related Offences,2023,Tasman Region,1
128,Takaka.,"Robbery, Extortion and Related Offences",2023,Tasman Region,1
