,Area Unit,ANZSOC Division,Year,Region,Victimisations
96,Stuart St-Frederick St.,"Robbery, Extortion and Related Offences",2023,Otago Region,1
97,Wingatui.,"Robbery, Extortion and Related Offences",2023,Otago Region,1
98,Halfway Bush.,Acts Intended to Cause Injury,2023,Otago Region,1
99,Otago University.,Acts Intended to Cause Injury,2023,Otago Region,1
100,Bruce.,Acts Intended to Cause Injury,2023,Otago Region,1
101,Stuart St-Frederick St.,Acts Intended to Cause Injury,2023,Otago Region,1
102,Balclutha.,Acts Intended to Cause Injury,2023,Otago Region,1
103,Alexandra.,Acts Intended to Cause Injury,2023,Otago Region,1
104,Wanaka.,Theft and Related Offences,2023,Otago Region,1
105,Wanaka.,Theft and Related Offences,2023,Otago Region,1
106,Otago University.,Theft and Related Offences,2023,Otago Region,1
107,East Taieri.,Theft and Related Offences,2023,Otago Region,1
108,South Dunedin.,Theft and Related Offences,2023,Otago Region,1
109,Forbury.,Theft and Related Offences,2023,Otago Region,1
110,Saddle Hill.,"Robbery, Extortion and Related Offences",2023,Otago Region,1
111,St Kilda Central.,"Robbery, Extortion and Related Offences",2023,Otago Region,1
112,Concord.,"Robbery, Extortion and Related Offences",2023,Otago Region,1
113,North East Valley.,"Robbery, Extortion and Related Offences",2023,Otago Region,1
114,Stuart St-Frederick St.,"Robbery, Extortion and Related Offences",2023,Otago Region,1
115,Caversham.,Acts Intended to Cause Injury,2023,Otago Region,1
116,Maniototo.,Acts Intended to Cause Injury,2023,Otago Region,1
117,North East Valley.,Acts Intended to Cause Injury,2023,Otago Region,1
118,Stuart St-Frederick St.,Acts Intended to Cause Injury,2023,Otago Region,2
119,Caversham.,Acts Intended to Cause Injury,2023,Otago Region,1
120,Cromwell.,Acts Intended to Cause Injury,2023,Otago Region,1
121,Waitati.,Acts Intended to Cause Injury,2023,Otago Region,1
122,Oamaru Central.,Acts Intended to Cause Injury,2023,Otago Region,1
123,Oamaru Central.,Acts Intended to Cause Injury,2023,Otago Region,1
124,Bruce.,Acts Intended to Cause Injury,2023,Otago Region,1
125,North East Valley.,Acts Intended to Cause Injury,2023,Otago Region,1
126,Otago University.,Acts Intended to Cause Injury,2023,Otago Region,1
127,Fernhill.,Theft and Related Offences,2023,Otago Region,1
128,Stuart St-Frederick St.,Theft and Related Offences,2023,Otago Region,1
129,Mosgiel South.,"Robbery, Extortion and Related Offences",2023,Otago Region,1
130,Balclutha.,Theft and Related Offences,2023,Otago Region,1
131,Oamaru Central.,Theft and Related Offences,2023,Otago Region,1
132,Wanaka.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Otago Region,1
133,Vauxhall.,Acts Intended to Cause Injury,2023,Otago Region,1
134,Halfway Bush.,Acts Intended to Cause Injury,2023,Otago Region,1
135,Stuart St-Frederick St.,Acts Intended to Cause Injury,2023,Otago Region,1
136,Taieri.,Acts Intended to Cause Injury,2023,Otago Region,1
137,Matukituki.,Acts Intended to Cause Injury,2023,Otago Region,1
138,Halfway Bush.,Acts Intended to Cause Injury,2023,Otago Region,1
139,High St-Stuart St.,Acts Intended to Cause Injury,2023,Otago Region,1
140,Oamaru Central.,Acts Intended to Cause Injury,2023,Otago Region,1
141,Brockville.,Acts Intended to Cause Injury,2023,Otago Region,1
142,South Dunedin.,Acts Intended to Cause Injury,2023,Otago Region,1
143,Stuart St-Frederick St.,Acts Intended to Cause Injury,2023,Otago Region,1
144,Green Island.,Acts Intended to Cause Injury,2023,Otago Region,1
145,East Taieri.,Theft and Related Offences,2023,Otago Region,1
146,Brockville.,Theft and Related Offences,2023,Otago Region,1
147,Stuart St-Frederick St.,Theft and Related Offences,2023,Otago Region,1
148,Wanaka.,Theft and Related Offences,2023,Otago Region,1
149,Wanaka.,Theft and Related Offences,2023,Otago Region,1
150,Caledonian.,Theft and Related Offences,2023,Otago Region,1
151,Bruce.,"Robbery, Extortion and Related Offences",2023,Otago Region,1
