,Area Unit,ANZSOC Division,Year,Region,Victimisations
79,Kawerau.,Theft and Related Offences,2023,Bay of Plenty Region,1
80,Whakatane West.,Theft and Related Offences,2023,Bay of Plenty Region,1
81,Upper Papamoa.,Acts Intended to Cause Injury,2023,Bay of Plenty Region,1
82,Omanu.,Acts Intended to Cause Injury,2023,Bay of Plenty Region,1
83,Upper Papamoa.,Acts Intended to Cause Injury,2023,Bay of Plenty Region,1
84,Tauranga South.,Acts Intended to Cause Injury,2023,Bay of Plenty Region,1
85,Te Maunga.,Acts Intended to Cause Injury,2023,Bay of Plenty Region,1
86,Bellevue.,Acts Intended to Cause Injury,2023,Bay of Plenty Region,1
87,Kawerau.,Theft and Related Offences,2023,Bay of Plenty Region,1
88,Kawerau.,Theft and Related Offences,2023,Bay of Plenty Region,1
89,Tauranga South.,Theft and Related Offences,2023,Bay of Plenty Region,1
90,Tauranga South.,Theft and Related Offences,2023,Bay of Plenty Region,1
91,Te Maunga.,Theft and Related Offences,2023,Bay of Plenty Region,1
92,Te Maunga.,Theft and Related Offences,2023,Bay of Plenty Region,1
93,Te Maunga.,Theft and Related Offences,2023,Bay of Plenty Region,1
94,Welcome Bay East.,Theft and Related Offences,2023,Bay of Plenty Region,1
95,Welcome Bay East.,Theft and Related Offences,2023,Bay of Plenty Region,1
96,Rotoma.,Acts Intended to Cause Injury,2023,Bay of Plenty Region,1
97,Rotoma.,Acts Intended to Cause Injury,2023,Bay of Plenty Region,1
98,Whakatane West.,Acts Intended to Cause Injury,2023,Bay of Plenty Region,1
99,Matahina-Minginui.,Acts Intended to Cause Injury,2023,Bay of Plenty Region,2
100,Trident.,Acts Intended to Cause Injury,2023,Bay of Plenty Region,1
101,Opotiki.,Acts Intended to Cause Injury,2023,Bay of Plenty Region,1
102,Kawerau.,Acts Intended to Cause Injury,2023,Bay of Plenty Region,1
103,Edgecumbe.,Theft and Related Offences,2023,Bay of Plenty Region,1
104,Whakatane North.,"Robbery, Extortion and Related Offences",2023,Bay of Plenty Region,1
105,Murupara.,"Abduction, Harassment and Other Related Offences Against a Person",2023,Bay of Plenty Region,1
106,Whakatane West.,Theft and Related Offences,2023,Bay of Plenty Region,1
107,Waiotahi.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Bay of Plenty Region,1
108,Greerton.,"Robbery, Extortion and Related Offences",2023,Bay of Plenty Region,1
109,Matapihi.,"Robbery, Extortion and Related Offences",2023,Bay of Plenty Region,6
110,Omokoroa.,"Robbery, Extortion and Related Offences",2023,Bay of Plenty Region,1
111,Greerton.,"Robbery, Extortion and Related Offences",2023,Bay of Plenty Region,1
112,Arataki.,"Robbery, Extortion and Related Offences",2023,Bay of Plenty Region,1
113,Otumoetai South.,"Robbery, Extortion and Related Offences",2023,Bay of Plenty Region,1
114,Victoria.,"Robbery, Extortion and Related Offences",2023,Bay of Plenty Region,1
115,Otakiri.,Theft and Related Offences,2023,Bay of Plenty Region,1
116,Whakatane West.,Theft and Related Offences,2023,Bay of Plenty Region,1
117,Kawerau.,Theft and Related Offences,2023,Bay of Plenty Region,1
118,Trident.,Theft and Related Offences,2023,Bay of Plenty Region,1
119,Rotoma.,Theft and Related Offences,2023,Bay of Plenty Region,1
120,Whakatane North.,Theft and Related Offences,2023,Bay of Plenty Region,1
121,Opotiki.,Theft and Related Offences,2023,Bay of Plenty Region,1
122,Trident.,Theft and Related Offences,2023,Bay of Plenty Region,1
123,Kuirau.,Theft and Related Offences,2023,Bay of Plenty Region,1
124,Tauranga City-Marinas.,Theft and Related Offences,2023,Bay of Plenty Region,2
125,Bethlehem.,Acts Intended to Cause Injury,2023,Bay of Plenty Region,1
126,Matapihi.,Acts Intended to Cause Injury,2023,Bay of Plenty Region,1
127,Papamoa Beach East.,Acts Intended to Cause Injury,2023,Bay of Plenty Region,2
128,Tauranga Hospital.,Acts Intended to Cause Injury,2023,Bay of Plenty Region,1
129,Fordlands.,Acts Intended to Cause Injury,2023,Bay of Plenty Region,1
130,Pomare.,Acts Intended to Cause Injury,2023,Bay of Plenty Region,1
131,Hamurana.,Acts Intended to Cause Injury,2023,Bay of Plenty Region,1
132,Kuirau.,Acts Intended to Cause Injury,2023,Bay of Plenty Region,1
133,Otakiri.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Bay of Plenty Region,1
134,Waiotahi.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Bay of Plenty Region,1
135,Allandale-Mokorua.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Bay of Plenty Region,1
136,Fordlands.,Theft and Related Offences,2023,Bay of Plenty Region,1
137,Springfield.,Theft and Related Offences,2023,Bay of Plenty Region,1
138,Trident.,Theft and Related Offences,2023,Bay of Plenty Region,1
139,Kawerau.,Theft and Related Offences,2023,Bay of Plenty Region,2
140,Whakatane North.,"Robbery, Extortion and Related Offences",2023,Bay of Plenty Region,1
141,Kawerau.,"Robbery, Extortion and Related Offences",2023,Bay of Plenty Region,1
142,Waihi Beach.,"Robbery, Extortion and Related Offences",2023,Bay of Plenty Region,1
143,Tauranga Hospital.,"Robbery, Extortion and Related Offences",2023,Bay of Plenty Region,1
144,Matakana Island.,Acts Intended to Cause Injury,2023,Bay of Plenty Region,1
145,Whakatane North.,Theft and Related Offences,2023,Bay of Plenty Region,1
146,Allandale-Mokorua.,Theft and Related Offences,2023,Bay of Plenty Region,1
147,Opotiki.,Theft and Related Offences,2023,Bay of Plenty Region,1
148,Whakatane North.,Theft and Related Offences,2023,Bay of Plenty Region,1
149,Whakatane North.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Bay of Plenty Region,1
